holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,month,day_of_week,hour
None,278.16,0.0,0.0,90,Clouds,October,Saturday,19
None,278.16,0.0,0.0,90,Clouds,October,Saturday,20
None,277.93,0.0,0.0,90,Clouds,October,Saturday,21
None,276.9,0.0,0.0,90,Clouds,October,Saturday,22
None,276.34,0.0,0.0,75,Clouds,October,Saturday,23
None,276.11,0.0,0.0,75,Clouds,October,Sunday,0
None,275.73,0.0,0.0,90,Clouds,October,Sunday,3
None,275.65,0.0,0.0,90,Clouds,October,Sunday,4
None,275.51,0.0,0.0,75,Clouds,October,Sunday,5
None,275.05,0.0,0.0,90,Clouds,October,Sunday,6
None,274.77,0.0,0.0,90,Clouds,October,Sunday,7
None,274.77,0.0,0.0,75,Clouds,October,Sunday,8
None,275.55,0.0,0.0,75,Clouds,October,Sunday,9
None,276.24,0.0,0.0,75,Clouds,October,Sunday,10
None,277.01,0.0,0.0,90,Clouds,October,Sunday,11
None,277.43,0.0,0.0,90,Clouds,October,Sunday,12
None,278.45,0.0,0.0,90,Clouds,October,Sunday,13
None,279.27,0.0,0.0,90,Clouds,October,Sunday,14
None,279.27,0.0,0.0,90,Clouds,October,Sunday,15
None,279.44,0.0,0.0,90,Clouds,October,Sunday,16
None,279.32,0.0,0.0,90,Clouds,October,Sunday,17
None,279.27,0.0,0.0,90,Clouds,October,Sunday,18
None,278.11,0.0,0.0,90,Clouds,October,Sunday,19
None,276.79,0.0,0.0,75,Clouds,October,Sunday,20
None,275.73,0.0,0.0,90,Clouds,October,Sunday,21
None,274.88,0.0,0.0,75,Clouds,October,Sunday,22
None,273.92,0.0,0.0,20,Clouds,October,Sunday,23
Columbus Day,273.08,0.0,0.0,20,Clouds,October,Monday,0
None,272.62,0.0,0.0,20,Clouds,October,Monday,1
None,271.78,0.0,0.0,1,Clear,October,Monday,2
None,271.05,0.0,0.0,1,Clear,October,Monday,3
None,270.63,0.0,0.0,1,Clear,October,Monday,4
None,270.33,0.0,0.0,1,Clear,October,Monday,5
None,269.61,0.0,0.0,20,Clouds,October,Monday,6
None,270.01,0.0,0.0,20,Clouds,October,Monday,7
None,271.23,0.0,0.0,20,Clouds,October,Monday,8
None,273.71,0.0,0.0,20,Clouds,October,Monday,9
None,276.77,0.0,0.0,20,Clouds,October,Monday,10
None,279.47,0.0,0.0,20,Clouds,October,Monday,11
None,279.84,0.0,0.0,1,Clear,October,Monday,12
None,282.34,0.0,0.0,40,Clouds,October,Monday,13
None,282.94,0.0,0.0,40,Clouds,October,Monday,14
None,283.48,0.0,0.0,1,Clear,October,Monday,15
None,284.33,0.0,0.0,1,Clear,October,Monday,16
None,284.48,0.0,0.0,40,Clouds,October,Monday,17
None,284.23,0.0,0.0,40,Clouds,October,Monday,18
None,281.99,0.0,0.0,20,Clouds,October,Monday,19
None,279.81,0.0,0.0,1,Clear,October,Monday,20
None,279.35,0.0,0.0,1,Clear,October,Monday,21
None,278.9,0.0,0.0,1,Clear,October,Monday,22
None,278.46,0.0,0.0,1,Clear,October,Monday,23
None,277.78,0.0,0.0,1,Clear,October,Tuesday,0
None,277.27,0.0,0.0,1,Clear,October,Tuesday,1
None,277.47,0.0,0.0,1,Clear,October,Tuesday,2
None,276.97,0.0,0.0,20,Clouds,October,Tuesday,4
None,276.52,0.0,0.0,40,Clouds,October,Tuesday,5
None,276.6,0.0,0.0,40,Clouds,October,Tuesday,6
None,277.31,0.0,0.0,75,Clouds,October,Tuesday,7
None,278.38,0.0,0.0,90,Clouds,October,Tuesday,8
None,279.35,0.0,0.0,90,Clouds,October,Tuesday,9
None,281.37,0.0,0.0,90,Clouds,October,Tuesday,10
None,283.11,0.0,0.0,90,Clouds,October,Tuesday,11
None,284.08,0.0,0.0,75,Clouds,October,Tuesday,12
None,285.14,0.0,0.0,75,Clouds,October,Tuesday,13
None,286.35,0.0,0.0,90,Clouds,October,Tuesday,14
None,287.23,0.0,0.0,100,Rain,October,Tuesday,15
None,288.53,0.0,0.0,90,Clouds,October,Tuesday,16
None,290.37,0.0,0.0,90,Clouds,October,Tuesday,17
None,290.13,0.0,0.0,90,Clouds,October,Tuesday,18
None,288.86,0.0,0.0,75,Clouds,October,Tuesday,19
None,287.36,0.0,0.0,90,Clouds,October,Tuesday,20
None,285.11,0.0,0.0,90,Clouds,October,Tuesday,21
None,283.46,0.0,0.0,90,Clouds,October,Tuesday,22
None,282.45,0.0,0.0,90,Clouds,October,Tuesday,23
None,281.88,0.0,0.0,90,Clouds,October,Wednesday,0
None,281.78,0.0,0.0,90,Clouds,October,Wednesday,1
None,281.09,0.0,0.0,75,Clouds,October,Wednesday,2
None,281.17,0.0,0.0,90,Clouds,October,Wednesday,3
None,281.25,0.0,0.0,92,Clear,October,Wednesday,6
None,281.25,0.0,0.0,99,Rain,October,Wednesday,7
None,281.25,0.0,0.0,99,Drizzle,October,Wednesday,7
None,280.1,0.0,0.0,99,Rain,October,Wednesday,8
None,280.1,0.0,0.0,99,Drizzle,October,Wednesday,8
None,279.61,0.0,0.0,99,Rain,October,Wednesday,9
None,279.61,0.0,0.0,99,Drizzle,October,Wednesday,9
None,279.67,0.0,0.0,99,Clear,October,Wednesday,10
None,280.19,0.0,0.0,1,Clear,October,Wednesday,11
None,282.09,0.0,0.0,75,Clouds,October,Wednesday,12
None,282.26,0.0,0.0,75,Clouds,October,Wednesday,13
None,282.05,0.0,0.0,90,Clouds,October,Wednesday,14
None,281.59,0.0,0.0,90,Clouds,October,Wednesday,15
None,281.23,0.0,0.0,81,Clear,October,Wednesday,16
None,282.6,0.0,0.0,81,Clear,October,Wednesday,18
None,282.6,0.0,0.0,81,Clear,October,Wednesday,19
None,282.6,0.0,0.0,81,Clear,October,Wednesday,20
None,282.6,0.0,0.0,81,Clear,October,Wednesday,21
None,282.6,0.0,0.0,81,Clear,October,Wednesday,22
None,282.6,0.0,0.0,81,Clear,October,Wednesday,23
None,273.9,0.0,0.0,1,Clear,October,Thursday,1
None,274.4,0.0,0.0,75,Clouds,October,Thursday,3
None,274.05,0.0,0.0,75,Clouds,October,Thursday,4
None,273.71,0.0,0.0,40,Clouds,October,Thursday,5
None,272.66,0.0,0.0,1,Clear,October,Thursday,6
None,272.65,0.0,0.0,1,Clear,October,Thursday,7
None,272.52,0.0,0.0,1,Clear,October,Thursday,8
None,275.19,0.0,0.0,20,Clouds,October,Thursday,9
None,275.34,0.0,0.0,1,Clear,October,Thursday,10
None,284.1,0.0,0.0,50,Clear,October,Thursday,14
None,284.1,0.0,0.0,50,Clear,October,Thursday,15
None,283.78,0.0,0.0,75,Clouds,October,Thursday,16
None,283.52,0.0,0.0,75,Clouds,October,Thursday,17
None,283.32,0.0,0.0,90,Clouds,October,Thursday,18
None,282.06,0.0,0.0,90,Clouds,October,Thursday,19
None,281.95,0.0,0.0,90,Clouds,October,Thursday,20
None,281.81,0.0,0.0,90,Clouds,October,Thursday,21
None,282.16,0.0,0.0,90,Clouds,October,Thursday,22
None,282.53,0.0,0.0,90,Clouds,October,Thursday,23
None,283.91,0.0,0.0,90,Clouds,October,Friday,0
None,284.64,0.0,0.0,90,Clouds,October,Friday,1
None,284.61,0.0,0.0,90,Clouds,October,Friday,2
None,283.18,0.0,0.0,72,Drizzle,October,Friday,3
None,282.26,0.0,0.0,72,Rain,October,Friday,4
None,280.77,0.0,0.0,72,Drizzle,October,Friday,5
None,278.53,0.0,0.0,75,Clouds,October,Friday,6
None,277.64,0.0,0.0,75,Clouds,October,Friday,7
None,277.9,0.0,0.0,90,Clouds,October,Friday,8
None,278.18,0.0,0.0,90,Clouds,October,Friday,9
None,279.29,0.0,0.0,75,Clouds,October,Friday,10
None,280.45,0.0,0.0,75,Clouds,October,Friday,11
None,280.95,0.0,0.0,40,Clouds,October,Friday,12
None,281.74,0.0,0.0,40,Clouds,October,Friday,13
None,281.84,0.0,0.0,75,Clouds,October,Friday,14
None,282.45,0.0,0.0,75,Clouds,October,Friday,15
None,282.2,0.0,0.0,75,Clouds,October,Friday,16
None,281.54,0.0,0.0,40,Clouds,October,Friday,17
None,280.21,0.0,0.0,20,Clouds,October,Friday,18
None,282.2,0.0,0.0,56,Clear,October,Friday,23
None,272.58,0.0,0.0,1,Clear,October,Saturday,0
None,272.06,0.0,0.0,1,Clear,October,Saturday,1
None,270.99,0.0,0.0,1,Clear,October,Saturday,2
None,270.29,0.0,0.0,20,Clouds,October,Saturday,3
None,269.48,0.0,0.0,1,Clear,October,Saturday,4
None,269.27,0.0,0.0,1,Clear,October,Saturday,5
None,268.91,0.0,0.0,1,Clear,October,Saturday,6
None,268.98,0.0,0.0,75,Clouds,October,Saturday,7
None,269.23,0.0,0.0,40,Clouds,October,Saturday,8
None,272.61,0.0,0.0,40,Clouds,October,Saturday,9
None,276.78,0.0,0.0,20,Clouds,October,Saturday,10
None,279.22,0.0,0.0,1,Clear,October,Saturday,11
None,280.35,0.0,0.0,1,Clear,October,Saturday,12
None,281.81,0.0,0.0,1,Clear,October,Saturday,13
None,283.05,0.0,0.0,1,Clear,October,Saturday,14
None,283.96,0.0,0.0,1,Clear,October,Saturday,15
None,284.53,0.0,0.0,1,Clear,October,Saturday,16
None,284.44,0.0,0.0,1,Clear,October,Saturday,17
None,283.64,0.0,0.0,1,Clear,October,Saturday,18
None,281.85,0.0,0.0,20,Clouds,October,Saturday,19
None,281.38,0.0,0.0,1,Clear,October,Saturday,20
None,281.84,0.0,0.0,75,Clouds,October,Saturday,21
None,282.23,0.0,0.0,90,Clouds,October,Saturday,22
None,282.18,0.0,0.0,90,Clouds,October,Saturday,23
None,282.49,0.0,0.0,90,Clouds,October,Sunday,0
None,282.54,0.0,0.0,90,Clouds,October,Sunday,1
None,282.58,0.0,0.0,90,Clouds,October,Sunday,2
None,282.23,0.0,0.0,90,Clouds,October,Sunday,3
None,282.08,0.0,0.0,90,Clouds,October,Sunday,4
None,282.23,0.0,0.0,90,Clouds,October,Sunday,5
None,282.24,0.0,0.0,90,Clouds,October,Sunday,6
None,282.24,0.0,0.0,90,Clouds,October,Sunday,7
None,282.24,0.0,0.0,57,Mist,October,Sunday,8
None,282.43,0.0,0.0,57,Drizzle,October,Sunday,9
None,282.43,0.0,0.0,57,Mist,October,Sunday,9
None,282.43,0.0,0.0,57,Haze,October,Sunday,9
None,282.33,0.0,0.0,57,Drizzle,October,Sunday,10
None,282.33,0.0,0.0,57,Mist,October,Sunday,10
None,282.82,0.0,0.0,57,Drizzle,October,Sunday,11
None,282.82,0.0,0.0,57,Mist,October,Sunday,11
None,283.33,0.0,0.0,57,Mist,October,Sunday,12
None,283.33,0.0,0.0,57,Rain,October,Sunday,12
None,283.33,0.0,0.0,57,Drizzle,October,Sunday,12
None,283.75,0.0,0.0,93,Rain,October,Sunday,13
None,283.75,0.0,0.0,93,Mist,October,Sunday,13
None,283.75,0.0,0.0,93,Drizzle,October,Sunday,13
None,284.09,0.0,0.0,93,Mist,October,Sunday,14
None,284.09,0.0,0.0,93,Rain,October,Sunday,14
None,284.09,0.0,0.0,93,Drizzle,October,Sunday,14
None,284.55,0.0,0.0,93,Mist,October,Sunday,15
None,284.55,0.0,0.0,93,Rain,October,Sunday,15
None,284.68,0.0,0.0,93,Mist,October,Sunday,16
None,284.64,0.0,0.0,93,Rain,October,Sunday,17
None,284.64,0.0,0.0,93,Mist,October,Sunday,17
None,284.4,0.0,0.0,93,Mist,October,Sunday,18
None,284.17,0.0,0.0,93,Mist,October,Sunday,19
None,284.03,0.0,0.0,93,Mist,October,Sunday,20
None,283.58,0.0,0.0,93,Mist,October,Sunday,21
None,283.04,0.0,0.0,93,Mist,October,Sunday,22
None,281.95,0.0,0.0,93,Mist,October,Sunday,23
None,281.95,0.0,0.0,93,Fog,October,Sunday,23
None,281.61,0.0,0.0,93,Mist,October,Monday,0
None,281.61,0.0,0.0,93,Fog,October,Monday,0
None,281.57,0.0,0.0,85,Fog,October,Monday,1
None,281.42,0.0,0.0,85,Fog,October,Monday,2
None,281.29,0.0,0.0,85,Mist,October,Monday,3
None,281.29,0.0,0.0,85,Fog,October,Monday,3
None,281.02,0.0,0.0,85,Mist,October,Monday,4
None,281.02,0.0,0.0,85,Fog,October,Monday,4
None,280.82,0.0,0.0,85,Mist,October,Monday,5
None,280.82,0.0,0.0,85,Fog,October,Monday,5
None,280.39,0.0,0.0,85,Mist,October,Monday,6
None,280.19,0.0,0.0,100,Mist,October,Monday,7
None,279.82,0.0,0.0,100,Mist,October,Monday,8
None,279.75,0.0,0.0,100,Mist,October,Monday,9
None,280.07,0.0,0.0,100,Mist,October,Monday,10
None,280.32,0.0,0.0,90,Clouds,October,Monday,11
None,281.72,0.0,0.0,100,Clear,October,Monday,12
None,284.01,0.0,0.0,40,Clouds,October,Monday,13
None,285.88,0.0,0.0,1,Clear,October,Monday,14
None,286.87,0.0,0.0,1,Clear,October,Monday,15
None,287.6,0.0,0.0,20,Clouds,October,Monday,16
None,287.27,0.0,0.0,20,Clouds,October,Monday,17
None,286.18,0.0,0.0,20,Clouds,October,Monday,18
None,285.2,0.0,0.0,75,Clouds,October,Monday,19
None,284.68,0.0,0.0,75,Clouds,October,Monday,20
None,284.49,0.0,0.0,90,Clouds,October,Monday,21
None,283.54,0.0,0.0,20,Clouds,October,Monday,22
None,282.33,0.0,0.0,75,Clouds,October,Monday,23
None,281.21,0.0,0.0,20,Clouds,October,Tuesday,0
None,279.87,0.0,0.0,1,Clear,October,Tuesday,1
None,278.93,0.0,0.0,1,Clear,October,Tuesday,2
None,277.91,0.0,0.0,1,Clear,October,Tuesday,3
None,277.21,0.0,0.0,1,Clear,October,Tuesday,4
None,276.61,0.0,0.0,1,Clear,October,Tuesday,5
None,276.11,0.0,0.0,1,Clear,October,Tuesday,6
None,274.81,0.0,0.0,20,Clouds,October,Tuesday,7
None,274.99,0.0,0.0,20,Clouds,October,Tuesday,8
None,277.91,0.0,0.0,20,Clouds,October,Tuesday,9
None,280.71,0.0,0.0,20,Clouds,October,Tuesday,10
None,283.85,0.0,0.0,20,Clouds,October,Tuesday,11
None,286.01,0.0,0.0,40,Clouds,October,Tuesday,12
None,286.31,0.0,0.0,1,Clear,October,Tuesday,13
None,288.15,0.0,0.0,75,Clouds,October,Tuesday,14
None,289.15,0.0,0.0,75,Clouds,October,Tuesday,15
None,288.99,0.0,0.0,75,Clouds,October,Tuesday,16
None,288.86,0.0,0.0,75,Clouds,October,Tuesday,17
None,288.16,0.0,0.0,90,Clouds,October,Tuesday,18
None,287.28,0.0,0.0,68,Rain,October,Tuesday,19
None,287.04,0.0,0.0,90,Clouds,October,Tuesday,20
None,286.9,0.0,0.0,90,Clouds,October,Tuesday,21
None,287.09,0.0,0.0,90,Clouds,October,Tuesday,22
None,287.09,0.0,0.0,90,Clouds,October,Tuesday,23
None,286.89,0.0,0.0,75,Clouds,October,Wednesday,0
None,286.93,0.0,0.0,75,Clouds,October,Wednesday,1
None,286.93,0.0,0.0,90,Clouds,October,Wednesday,2
None,287.07,0.0,0.0,90,Clouds,October,Wednesday,3
None,286.56,0.0,0.0,75,Clouds,October,Wednesday,4
None,285.91,0.0,0.0,90,Clouds,October,Wednesday,5
None,285.29,0.0,0.0,90,Clouds,October,Wednesday,6
None,284.92,0.0,0.0,75,Clouds,October,Wednesday,7
None,285.35,0.0,0.0,75,Clouds,October,Wednesday,8
None,285.72,0.0,0.0,100,Rain,October,Wednesday,9
None,285.72,0.0,0.0,100,Rain,October,Wednesday,9
None,287.09,0.0,0.0,75,Clouds,October,Wednesday,10
None,288.31,0.0,0.0,75,Clouds,October,Wednesday,11
None,288.61,0.0,0.0,1,Clear,October,Wednesday,12
None,290.32,0.0,0.0,1,Clear,October,Wednesday,13
None,291.36,0.0,0.0,1,Clear,October,Wednesday,14
None,292.01,0.0,0.0,1,Clear,October,Wednesday,15
None,292.61,0.0,0.0,1,Clear,October,Wednesday,16
None,292.65,0.0,0.0,1,Clear,October,Wednesday,17
None,290.52,0.0,0.0,40,Clouds,October,Wednesday,18
None,288.35,0.0,0.0,40,Clouds,October,Wednesday,19
None,286.72,0.0,0.0,40,Clouds,October,Wednesday,20
None,285.49,0.0,0.0,40,Clouds,October,Wednesday,21
None,284.22,0.0,0.0,20,Clouds,October,Wednesday,22
None,283.8,0.0,0.0,20,Clouds,October,Wednesday,23
None,283.72,0.0,0.0,20,Clouds,October,Thursday,0
None,282.8,0.0,0.0,40,Clouds,October,Thursday,1
None,282.32,0.0,0.0,99,Mist,October,Thursday,2
None,282.38,0.0,0.0,99,Mist,October,Thursday,3
None,282.76,0.0,0.0,90,Clouds,October,Thursday,4
None,282.88,0.0,0.0,99,Mist,October,Thursday,5
None,284.18,0.0,0.0,75,Clouds,October,Thursday,6
None,284.69,0.0,0.0,90,Clouds,October,Thursday,7
None,285.0,0.0,0.0,90,Clouds,October,Thursday,8
None,286.9,0.0,0.0,99,Rain,October,Thursday,9
None,288.35,0.0,0.0,90,Clouds,October,Thursday,10
None,289.59,0.0,0.0,90,Clouds,October,Thursday,11
None,288.27,0.0,0.0,99,Rain,October,Thursday,12
None,286.41,0.0,0.0,90,Clouds,October,Thursday,13
None,285.96,0.0,0.0,90,Clouds,October,Thursday,14
None,287.04,0.0,0.0,90,Clouds,October,Thursday,15
None,287.18,0.0,0.0,90,Clouds,October,Thursday,16
None,286.94,0.0,0.0,90,Clouds,October,Thursday,17
None,286.01,0.0,0.0,90,Clouds,October,Thursday,18
None,284.67,0.0,0.0,100,Drizzle,October,Thursday,19
None,283.44,0.0,0.0,100,Rain,October,Thursday,20
None,282.51,0.0,0.0,100,Drizzle,October,Thursday,21
None,281.9,0.0,0.0,90,Clouds,October,Thursday,22
None,281.85,0.0,0.0,90,Clouds,October,Thursday,23
None,281.28,0.0,0.0,90,Clouds,October,Friday,0
None,280.97,0.0,0.0,87,Mist,October,Friday,1
None,280.44,0.0,0.0,87,Drizzle,October,Friday,2
None,280.44,0.0,0.0,87,Mist,October,Friday,2
None,280.02,0.0,0.0,87,Mist,October,Friday,3
None,279.79,0.0,0.0,87,Drizzle,October,Friday,4
None,279.79,0.0,0.0,87,Mist,October,Friday,4
None,279.79,0.0,0.0,87,Rain,October,Friday,4
None,279.79,0.0,0.0,87,Drizzle,October,Friday,4
None,279.74,0.0,0.0,87,Mist,October,Friday,5
None,279.74,0.0,0.0,87,Rain,October,Friday,5
None,279.65,0.0,0.0,87,Drizzle,October,Friday,6
None,279.65,0.0,0.0,87,Mist,October,Friday,6
None,279.65,0.0,0.0,87,Rain,October,Friday,6
None,279.45,0.0,0.0,91,Mist,October,Friday,7
None,279.45,0.0,0.0,91,Rain,October,Friday,7
None,279.22,0.0,0.0,91,Drizzle,October,Friday,8
None,279.22,0.0,0.0,91,Mist,October,Friday,8
None,279.22,0.0,0.0,91,Rain,October,Friday,8
None,279.35,0.0,0.0,91,Rain,October,Friday,9
None,279.35,0.0,0.0,91,Mist,October,Friday,9
None,279.92,0.0,0.0,91,Mist,October,Friday,10
None,280.44,0.0,0.0,90,Clouds,October,Friday,11
None,281.0,0.0,0.0,90,Clouds,October,Friday,12
None,281.51,0.0,0.0,90,Clouds,October,Friday,13
None,281.93,0.0,0.0,92,Mist,October,Friday,14
None,281.94,0.0,0.0,92,Mist,October,Friday,15
None,281.94,0.0,0.0,92,Drizzle,October,Friday,15
None,282.27,0.0,0.0,92,Rain,October,Friday,16
None,282.41,0.0,0.0,92,Rain,October,Friday,17
None,282.21,0.0,0.0,90,Clouds,October,Friday,18
None,281.69,0.0,0.0,75,Clouds,October,Friday,19
None,281.26,0.0,0.0,90,Clouds,October,Friday,20
None,280.66,0.0,0.0,92,Mist,October,Friday,21
None,280.43,0.0,0.0,92,Drizzle,October,Friday,22
None,280.43,0.0,0.0,92,Drizzle,October,Friday,22
None,280.1,0.0,0.0,92,Mist,October,Friday,23
None,280.1,0.0,0.0,92,Rain,October,Friday,23
None,280.1,0.0,0.0,92,Drizzle,October,Friday,23
None,280.06,0.0,0.0,92,Rain,October,Saturday,0
None,280.06,0.0,0.0,92,Rain,October,Saturday,0
None,280.28,0.0,0.0,96,Drizzle,October,Saturday,1
None,280.28,0.0,0.0,96,Rain,October,Saturday,1
None,280.38,0.0,0.0,96,Drizzle,October,Saturday,2
None,280.62,0.0,0.0,96,Drizzle,October,Saturday,3
None,280.62,0.0,0.0,96,Mist,October,Saturday,3
None,280.91,0.0,0.0,96,Mist,October,Saturday,4
None,280.91,0.0,0.0,96,Drizzle,October,Saturday,4
None,280.91,0.0,0.0,96,Rain,October,Saturday,4
None,280.96,0.0,0.0,96,Rain,October,Saturday,5
None,280.96,0.0,0.0,96,Mist,October,Saturday,5
None,280.96,0.0,0.0,96,Drizzle,October,Saturday,5
None,281.13,0.0,0.0,96,Rain,October,Saturday,6
None,281.13,0.0,0.0,96,Mist,October,Saturday,6
None,281.13,0.0,0.0,96,Drizzle,October,Saturday,6
None,281.28,0.0,0.0,100,Rain,October,Saturday,7
None,281.28,0.0,0.0,100,Mist,October,Saturday,7
None,281.28,0.0,0.0,100,Drizzle,October,Saturday,7
None,281.19,0.0,0.0,100,Rain,October,Saturday,8
None,281.19,0.0,0.0,100,Mist,October,Saturday,8
None,281.19,0.0,0.0,100,Drizzle,October,Saturday,8
None,281.7,0.0,0.0,100,Rain,October,Saturday,9
None,281.7,0.0,0.0,100,Drizzle,October,Saturday,9
None,281.7,0.0,0.0,100,Mist,October,Saturday,9
None,281.7,0.0,0.0,100,Drizzle,October,Saturday,9
None,282.02,0.0,0.0,100,Rain,October,Saturday,10
None,282.02,0.0,0.0,100,Drizzle,October,Saturday,10
None,282.02,0.0,0.0,100,Mist,October,Saturday,10
None,282.02,0.0,0.0,100,Rain,October,Saturday,10
None,282.35,0.0,0.0,100,Rain,October,Saturday,11
None,282.35,0.0,0.0,100,Mist,October,Saturday,11
